service_id,date,exception_type
G2509F_G13,20251206,1
G2509F_G13,20251208,1
G2510D_B4,20251116,1
G2510D_B4,20251123,1
G2510D_B4,20251130,1
G2510D_B4,20251207,1
G2510D_B4,20251214,1
G2510D_B4,20251221,1
G2510S_I2,20251115,1
G2510S_I2,20251122,1
G2510S_I2,20251129,1
G2510S_I2,20251213,1
G2510S_I2,20251220,1
G2511L_F1,20251111,1
G2511L_F1,20251117,1
G2511L_F1,20251118,1
G2511L_F1,20251119,1
G2511L_F1,20251120,1
G2511L_F1,20251121,1
G2511L_F1,20251124,1
G2511L_F1,20251125,1
G2511L_F1,20251126,1
G2511L_F1,20251127,1
G2511L_F1,20251128,1
G2511L_F1,20251201,1
G2511L_F1,20251202,1
G2511L_F1,20251203,1
G2511L_F1,20251204,1
G2511L_F1,20251205,1
G2511L_F1,20251209,1
G2511L_F1,20251210,1
G2511L_F1,20251211,1
G2511L_F1,20251212,1
G2511L_F1,20251215,1
G2511L_F1,20251216,1
G2511L_F1,20251217,1
G2511L_F1,20251218,1
G2511L_F1,20251219,1
G2511L_F3,20251112,1
G2511L_F3,20251113,1
G2511L_F3,20251114,1
